epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,114.718,0.53902,2.37609,0.00521,0.88742,0.85935,0.941,0.88712,0.36058,1.90378,0.00336,0.0099375,0.0033125,0.0099375,0.0033125,0.0099375,0.0033125,0.0099375,0.0033125
2,178.922,0.4767,0.90605,0.00459,0.92013,0.92776,0.97435,0.86224,0.49306,0.76838,0.00727,0.0198717,0.0066239,0.0198717,0.0066239,0.0198717,0.0066239,0.0198717,0.0066239
3,241.795,0.51856,0.4811,0.00506,0.93381,0.93233,0.98359,0.89008,0.45038,0.41849,0.00592,0.0297399,0.0099133,0.0297399,0.0099133,0.0297399,0.0099133,0.0297399,0.0099133
4,308.95,0.51211,0.33368,0.00521,0.94485,0.95448,0.98712,0.91454,0.39026,0.26839,0.00514,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,374.734,0.46308,0.26778,0.00467,0.96504,0.96556,0.99054,0.91275,0.39755,0.19616,0.0058,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,438.141,0.43683,0.23874,0.00439,0.95829,0.97335,0.99186,0.95348,0.30153,0.16111,0.00349,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,500.459,0.41952,0.22421,0.00414,0.97134,0.97211,0.99209,0.93523,0.34358,0.16073,0.00447,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,565.748,0.40688,0.21353,0.00402,0.97432,0.98101,0.99277,0.95594,0.30563,0.1446,0.00355,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,632.764,0.38936,0.20291,0.00385,0.97327,0.97049,0.9931,0.96712,0.26017,0.14102,0.0035,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,696.689,0.38512,0.19801,0.00381,0.97194,0.97689,0.99288,0.96661,0.26052,0.1334,0.0037,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,760.067,0.37498,0.19294,0.00367,0.96014,0.98101,0.99239,0.96781,0.26165,0.14668,0.00315,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,826.329,0.36723,0.189,0.00359,0.976,0.98245,0.99319,0.97052,0.24359,0.12793,0.00311,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,890.548,0.35613,0.18192,0.00351,0.97513,0.98371,0.99331,0.97847,0.22246,0.11218,0.00271,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,953.744,0.35259,0.18154,0.00346,0.97436,0.98308,0.99362,0.9705,0.24512,0.12459,0.00318,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1017.08,0.34475,0.17513,0.00336,0.97695,0.98166,0.99347,0.9654,0.2679,0.12205,0.00288,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1080.8,0.34039,0.17602,0.00331,0.98507,0.97968,0.99366,0.96978,0.25003,0.11786,0.00338,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1144.85,0.33559,0.1722,0.00327,0.98657,0.97661,0.99394,0.97866,0.22124,0.1076,0.00263,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1209.46,0.33105,0.17039,0.00319,0.97415,0.98832,0.99365,0.97911,0.21234,0.10508,0.00224,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1273.7,0.32869,0.16798,0.00315,0.97613,0.98786,0.99379,0.97869,0.21585,0.10828,0.00272,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1337.4,0.32601,0.16571,0.00315,0.97951,0.9839,0.99407,0.98293,0.2002,0.10301,0.00245,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1401.15,0.32097,0.16421,0.00311,0.98268,0.98512,0.9937,0.98153,0.21915,0.10429,0.0025,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1464.84,0.3195,0.16217,0.00308,0.98563,0.98316,0.99399,0.98253,0.19038,0.09555,0.00197,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1529.83,0.31865,0.15984,0.00306,0.97744,0.98452,0.99381,0.98093,0.20848,0.10319,0.00222,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1592.49,0.31843,0.16037,0.00309,0.97974,0.98604,0.99401,0.98323,0.17903,0.09589,0.00187,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1657.45,0.31314,0.16092,0.00302,0.9838,0.98746,0.99409,0.98493,0.18449,0.08936,0.00211,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1721.1,0.30967,0.15749,0.003,0.98692,0.98379,0.99429,0.98497,0.18249,0.09521,0.00199,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1784.83,0.31092,0.15757,0.00299,0.9837,0.98537,0.99418,0.98429,0.18427,0.10247,0.00187,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1848.35,0.3067,0.15423,0.00289,0.98761,0.98309,0.99398,0.98343,0.18767,0.09113,0.00212,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1911.61,0.30227,0.1551,0.00294,0.98567,0.98588,0.99428,0.98475,0.1834,0.09057,0.00198,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1974.74,0.30195,0.15339,0.0029,0.98686,0.98685,0.9945,0.98591,0.17746,0.08626,0.00187,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2038.32,0.30222,0.15245,0.0029,0.98459,0.98576,0.99429,0.98578,0.16262,0.08474,0.00175,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2103.12,0.30241,0.15451,0.00289,0.98304,0.9876,0.99428,0.98606,0.17467,0.08664,0.00197,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2167.18,0.29739,0.1496,0.00287,0.98597,0.98819,0.99427,0.98788,0.15844,0.08015,0.00163,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2231.35,0.29373,0.14828,0.00278,0.99035,0.98611,0.99441,0.98738,0.16834,0.07997,0.00179,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2295.37,0.29386,0.14978,0.00282,0.98882,0.98451,0.99441,0.98733,0.15526,0.07877,0.00158,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2359.08,0.29523,0.14986,0.00281,0.98947,0.98676,0.9945,0.98815,0.15961,0.08108,0.00174,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2422.9,0.29623,0.15054,0.00279,0.9851,0.98425,0.99436,0.98655,0.1601,0.08699,0.00162,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2486.85,0.29004,0.14512,0.00272,0.9912,0.98306,0.99458,0.98829,0.14975,0.08009,0.00153,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2550.48,0.28998,0.14883,0.00275,0.98935,0.98887,0.99464,0.98835,0.14996,0.07539,0.00161,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2614.22,0.2883,0.14725,0.00271,0.98618,0.98885,0.99427,0.98773,0.15919,0.0768,0.00157,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2677.88,0.28738,0.14656,0.00269,0.98748,0.99179,0.99454,0.98851,0.14571,0.07474,0.00159,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2743.41,0.28901,0.14737,0.00275,0.98465,0.99256,0.99443,0.98905,0.15013,0.07495,0.00162,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2808.12,0.286,0.14481,0.00273,0.99125,0.9863,0.99447,0.98825,0.14676,0.07393,0.00153,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2872.25,0.28266,0.14152,0.00266,0.98694,0.98979,0.99457,0.98989,0.1414,0.07102,0.00138,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2940.12,0.28469,0.14149,0.00268,0.98882,0.9918,0.99473,0.98898,0.13973,0.06948,0.00147,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3005.05,0.28379,0.14154,0.00263,0.98737,0.99298,0.99462,0.98919,0.14172,0.06918,0.00151,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3068.96,0.28126,0.14012,0.00264,0.98885,0.99127,0.99472,0.99044,0.13685,0.06679,0.00129,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3133.65,0.28473,0.14039,0.00264,0.98958,0.99076,0.99448,0.99002,0.1345,0.06853,0.00134,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,3198.2,0.28185,0.13825,0.00261,0.99121,0.99398,0.99471,0.99055,0.13818,0.06447,0.00128,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,3262.23,0.28432,0.14066,0.00265,0.98788,0.99493,0.99464,0.99064,0.12943,0.0655,0.00126,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,3326.28,0.28263,0.13976,0.00262,0.99125,0.99208,0.99464,0.99012,0.13778,0.06571,0.00144,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,3390.22,0.28148,0.1377,0.00262,0.99037,0.99298,0.99475,0.9901,0.13376,0.06399,0.00141,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3454.31,0.27875,0.13825,0.00265,0.99106,0.99247,0.99473,0.99036,0.12906,0.06202,0.00127,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3518.32,0.28233,0.14002,0.00261,0.99297,0.99111,0.99477,0.99057,0.12842,0.06388,0.00126,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3582.7,0.28029,0.13937,0.00258,0.99199,0.99303,0.99475,0.991,0.12194,0.06065,0.00113,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3646.55,0.27979,0.14174,0.00265,0.99174,0.9916,0.99472,0.991,0.12722,0.06282,0.00125,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3710.64,0.28209,0.13911,0.00268,0.99004,0.99194,0.99463,0.99052,0.12772,0.06336,0.00125,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3774.68,0.28292,0.14033,0.00264,0.99064,0.99321,0.99475,0.99066,0.12336,0.06086,0.00118,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
